age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,age_x_age,age_x_fnlwgt,age_x_education_num,age_x_capital_gain,age_x_capital_loss,age_x_hours_per_week,fnlwgt_x_fnlwgt,fnlwgt_x_education_num,fnlwgt_x_capital_gain,fnlwgt_x_capital_loss,fnlwgt_x_hours_per_week,education_num_x_education_num,education_num_x_capital_gain,education_num_x_capital_loss,education_num_x_hours_per_week,capital_gain_x_capital_gain,capital_gain_x_capital_loss,capital_gain_x_hours_per_week,capital_loss_x_capital_loss,capital_loss_x_hours_per_week,hours_per_week_x_hours_per_week,marital_status_statistics,male,female
72,Self-emp-not-inc,52138,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2392,25,United-States,>50K,5184,3753936,1152,0,172224,1800,-1576596252,834208,0,124714096,1303450,256,0,38272,400,0,0,0,5721664,59800,625,,,
43,State-gov,345969,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,1849,14876667,645,0,0,2150,-564535327,5189535,0,0,17298450,225,0,0,750,0,0,0,0,0,2500,,,
43,Private,484861,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,4064,0,38,United-States,<=50K,1849,20849023,430,174752,0,1634,-1133011959,4848610,1970475104,0,18424718,100,40640,0,380,16516096,0,154432,0,0,1444,,,
59,Private,171355,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,3481,10109945,944,0,0,2360,-702235047,2741680,0,0,6854200,256,0,0,640,0,0,0,0,0,1600,,,
41,Private,424478,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,45,United-States,>50K,1681,17403598,410,0,0,1845,-207053948,4244780,0,0,19101510,100,0,0,450,0,0,0,0,0,2025,,,
26,Private,256737,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,676,6675162,182,0,0,1040,1489377729,1797159,0,0,10269480,49,0,0,280,0,0,0,0,0,1600,,,
49,Private,124672,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,2401,6108928,441,0,0,1960,-1636761600,1122048,0,0,4986880,81,0,0,360,0,0,0,0,0,1600,,,
38,Self-emp-not-inc,163204,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3411,0,25,United-States,<=50K,1444,6201752,342,129618,0,950,865741840,1468836,556688844,0,4080100,81,30699,0,225,11634921,0,85275,0,0,625,,,
47,Private,72896,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,2209,3426112,423,0,0,1880,1018859520,656064,0,0,2915840,81,0,0,360,0,0,0,0,0,1600,,,
34,Private,176992,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,1156,6017728,340,0,0,1360,1261396992,1769920,0,0,7079680,100,0,0,400,0,0,0,0,0,1600,,,
49,Self-emp-not-inc,51620,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,<=50K,2401,2529380,784,0,0,2940,-1630342896,825920,0,0,3097200,256,0,0,960,0,0,0,0,0,3600,,,
36,Private,247558,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,5178,0,60,?,>50K,1296,8912088,540,186408,0,2160,1155421220,3713370,1281855324,0,14853480,225,77670,0,900,26811684,0,310680,0,0,3600,,,
57,Private,222247,12th,8,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K,3249,12668079,456,0,0,2280,-2145878543,1777976,0,0,8889880,64,0,0,320,0,0,0,0,0,1600,,,
61,Private,85548,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,15024,0,18,United-States,>50K,3721,5218428,610,916464,0,1098,-1271474288,855480,1285273152,0,1539864,100,150240,0,180,225720576,0,270432,0,0,324,,,
28,Private,118861,10th,6,Married-civ-spouse,Craft-repair,Wife,Other,Female,0,0,48,Guatemala,<=50K,784,3328108,168,0,0,1344,1243035433,713166,0,0,5705328,36,0,0,288,0,0,0,0,0,2304,,,
47,Federal-gov,282830,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,>50K,2209,13293010,564,0,0,1880,-1611569724,3393960,0,0,11313200,144,0,0,480,0,0,0,0,0,1600,,,
37,Private,173968,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,1369,6436816,333,0,0,1480,200093952,1565712,0,0,6958720,81,0,0,360,0,0,0,0,0,1600,,,
27,Private,300783,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,42,United-States,>50K,729,8121141,270,0,0,1134,276099873,3007830,0,0,12632886,100,0,0,420,0,0,0,0,0,1764,,,
34,Private,209101,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,55,United-States,>50K,1156,7109434,442,176052,0,1870,773555241,2718313,1082724978,0,11500555,169,67314,0,715,26811684,0,284790,0,0,3025,,,
38,Private,204501,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K,1444,7771038,494,0,0,2090,-1129013959,2658513,0,0,11247555,169,0,0,715,0,0,0,0,0,3025,,,
37,Self-emp-not-inc,607848,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K,1369,22490376,481,0,0,1480,112003648,7902024,0,0,24313920,169,0,0,520,0,0,0,0,0,1600,,,
31,Local-gov,168906,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50K,961,5236086,372,0,0,1085,-1535534236,2026872,0,0,5911710,144,0,0,420,0,0,0,0,0,1225,,,
58,Private,27385,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K,3364,1588330,522,0,0,3480,749938225,246465,0,0,1643100,81,0,0,540,0,0,0,0,0,3600,,,
55,Private,199067,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,3025,10948685,495,0,0,2200,972964825,1791603,0,0,7962680,81,0,0,360,0,0,0,0,0,1600,,,
33,Private,221196,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K,1089,7299468,330,0,0,1320,1683030160,2211960,0,0,8847840,100,0,0,400,0,0,0,0,0,1600,,,
40,Self-emp-not-inc,99651,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,<=50K,1600,3986040,400,0,0,2400,1340387209,996510,0,0,5979060,100,0,0,600,0,0,0,0,0,3600,,,
50,Private,217083,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K,2500,10854150,450,0,0,2000,-119611367,1953747,0,0,8683320,81,0,0,360,0,0,0,0,0,1600,,,
42,Private,383493,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,>50K,1764,16106706,420,631008,0,2100,1037992985,3834930,1466631536,0,19174650,100,150240,0,500,225720576,0,751200,0,0,2500,,,
49,Federal-gov,94754,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K,2401,4642946,686,0,0,1960,388385924,1326556,0,0,3790160,196,0,0,560,0,0,0,0,0,1600,,,
25,Private,404616,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,625,10115400,325,0,0,1000,505350208,5260008,0,0,16184640,169,0,0,520,0,0,0,0,0,1600,,,
44,Local-gov,24982,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,1936,1099208,440,0,0,1760,624100324,249820,0,0,999280,100,0,0,400,0,0,0,0,0,1600,,,
35,Self-emp-not-inc,120301,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,<=50K,1225,4210535,350,0,0,1575,1587428713,1203010,0,0,5413545,100,0,0,450,0,0,0,0,0,2025,,,
